"","host_species","preds"
"751","Kunsia_fronto",NA
"752","Kunsia_tomentosus",NA
"753","Scapteromys_tumidus",NA
"754","Scapteromys_aquaticus",NA
"755","Blarinomys_breviceps",NA
"756","Necromys_amoenus",NA
"757","Necromys_lactens",NA
"758","Necromys_lasiurus",NA
"759","Necromys_lenguarum",NA
"760","Necromys_benefactus",NA
"761","Necromys_obscurus",NA
"762","Necromys_punctulatus",NA
"763","Necromys_temchuki",NA
"764","Calomys_boliviae",NA
"765","Calomys_callidus",NA
"766","Calomys_callosus",NA
"767","Calomys_expulsus",NA
"768","Calomys_venustus",NA
"769","Calomys_hummelincki",NA
"770","Calomys_laucha",NA
"771","Calomys_lepidus",NA
"772","Calomys_musculinus",NA
"773","Calomys_sorellus",NA
"774","Calomys_tener",NA
"775","Chelemys_macronyx",NA
"776","Chelemys_megalonyx",NA
"777","Chelemys_delfini",NA
"778","Chilomys_instans",NA
"779","Chinchillula_sahamae",NA
"780","Delomys_dorsalis",NA
"781","Delomys_collinus",NA
"782","Delomys_sublineatus",NA
"783","Eligmodontia_moreni",NA
"784","Eligmodontia_morgani",NA
"785","Eligmodontia_puerulus",NA
"786","Eligmodontia_typus",NA
"787","Euneomys_chinchilloides",NA
"788","Euneomys_fossor",NA
"789","Euneomys_mordax",NA
"790","Euneomys_petersoni",NA
"791","Galenomys_garleppi",NA
"792","Geoxus_valdivianus",NA
"793","Holochilus_brasiliensis",NA
"794","Holochilus_chacarius",NA
"795","Lundomys_molitor",NA
"796","Holochilus_sciureus",NA
"797","Pseudoryzomys_simplex",NA
"798","Irenomys_tarsalis",NA
"799","Juscelinomys_candango",NA
"800","Lenoxus_apicalis",NA
"801","Melanomys_caliginosus",NA
"802","Melanomys_robustulus",NA
"803","Melanomys_zunigae",NA
"804","Microryzomys_altissimus",NA
"805","Microryzomys_minutus",NA
"806","Neacomys_guianae",NA
"807","Neacomys_pictus",NA
"808","Neacomys_spinosus",NA
"809","Neacomys_tenuipes",NA
"810","Nectomys_palmipes",NA
"811","Nectomys_rattus",NA
"812","Nectomys_squamipes",NA
"813","Nectomys_apicalis",NA
"814","Nectomys_magdalenae",NA
