"","host_species","preds"
"419","Pteronotus_quadridens",NA
"420","Pteronotus_macleayii",NA
"421","Diphylla_ecaudata",NA
"422","Desmodus_rotundus",NA
"423","Diaemus_youngi",NA
"424","Macrophyllum_macrophyllum",NA
"425","Lonchorhina_aurita",NA
"426","Lonchorhina_fernandezi",NA
"427","Lonchorhina_marinkellei",NA
"428","Lonchorhina_orinocensis",NA
"429","Macrotus_californicus",NA
"430","Macrotus_waterhousii",NA
"431","Lampronycteris_brachyotis",NA
"432","Micronycteris_megalotis",NA
"433","Micronycteris_homezi",NA
"434","Micronycteris_microtis",NA
"435","Micronycteris_hirsuta",NA
"436","Micronycteris_minuta",NA
"437","Micronycteris_schmidtorum",NA
"438","Trinycteris_nicefori",NA
"439","Neonycteris_pusilla",NA
"440","Glyphonycteris_daviesi",NA
"441","Glyphonycteris_behnii",NA
"442","Glyphonycteris_sylvestris",NA
"443","Trachops_cirrhosus",NA
"444","Chrotopterus_auritus",NA
"445","Vampyrum_spectrum",NA
"446","Tonatia_bidens",NA
"447","Tonatia_saurophila",NA
"448","Lophostoma_brasiliense",NA
"449","Lophostoma_carrikeri",NA
"450","Lophostoma_evotis",NA
"451","Lophostoma_schulzi",NA
"452","Lophostoma_silvicolum",NA
"453","Mimon_bennettii",NA
"454","Mimon_cozumelae",NA
"455","Mimon_crenulatum",NA
"456","Mimon_koepckeae",NA
"457","Phylloderma_stenops",NA
"458","Phyllostomus_latifolius",NA
"459","Phyllostomus_discolor",NA
"460","Phyllostomus_elongatus",NA
"461","Phyllostomus_hastatus",NA
"462","Brachyphylla_cavernarum",NA
"463","Brachyphylla_nana",NA
"464","Erophylla_sezekorni",NA
"465","Erophylla_bombifrons",NA
"466","Phyllonycteris_aphylla",NA
"467","Phyllonycteris_poeyi",NA
"468","Platalina_genovensium",NA
"469","Lionycteris_spurrelli",NA
"470","Lonchophylla_bokermanni",NA
"471","Lonchophylla_dekeyseri",NA
"472","Lonchophylla_handleyi",NA
"473","Lonchophylla_hesperia",NA
"474","Lonchophylla_mordax",NA
"475","Lonchophylla_robusta",NA
"476","Lonchophylla_thomasi",NA
"477","Leptonycteris_curasoae",NA
"478","Leptonycteris_yerbabuenae",NA
"479","Leptonycteris_nivalis",NA
"480","Monophyllus_plethodon",NA
"481","Monophyllus_redmani",NA
"482","Glossophaga_commissarisi",NA
"483","Glossophaga_soricina",NA
"484","Glossophaga_leachii",NA
"485","Glossophaga_longirostris",NA
"486","Glossophaga_morenoi",NA
"487","Anoura_caudifer",NA
"488","Anoura_cultrata",NA
"489","Anoura_geoffroyi",NA
"490","Anoura_latidens",NA
"491","Scleronycteris_ega",NA
"492","Hylonycteris_underwoodi",NA
"493","Lichonycteris_obscura",NA
"494","Choeronycteris_mexicana",NA
"495","Musonycteris_harrisoni",NA
"496","Choeroniscus_godmani",NA
"497","Choeroniscus_minor",NA
"498","Choeroniscus_periosus",NA
"499","Rhinophylla_alethina",NA
"500","Rhinophylla_fischerae",NA
"501","Rhinophylla_pumilio",NA
"502","Carollia_castanea",NA
"503","Carollia_brevicauda",NA
"504","Carollia_perspicillata",NA
"505","Carollia_subrufa",NA
"506","Sturnira_bidens",NA
"507","Sturnira_nana",NA
"508","Sturnira_aratathomasi",NA
"509","Sturnira_lilium",NA
"510","Sturnira_ludovici",NA
"511","Sturnira_luisi",NA
"512","Sturnira_magna",NA
"513","Sturnira_mordax",NA
"514","Sturnira_thomasi",NA
"515","Sturnira_tildae",NA
"516","Sturnira_bogotensis",NA
"517","Sturnira_oporaphilum",NA
"518","Sturnira_erythromos",NA
"519","Pygoderma_bilabiatum",NA
"520","Centurio_senex",NA
"521","Ametrida_centurio",NA
"522","Sphaeronycteris_toxophyllum",NA
"523","Phyllops_falcatus",NA
"524","Stenoderma_rufum",NA
"525","Ardops_nichollsi",NA
"526","Ariteus_flavescens",NA
"527","Enchisthenes_hartii",NA
"528","Artibeus_aztecus",NA
"529","Artibeus_phaeotis",NA
"530","Artibeus_toltecus",NA
"531","Artibeus_cinereus",NA
"532","Artibeus_anderseni",NA
"533","Artibeus_glaucus",NA
"534","Artibeus_gnomus",NA
"535","Artibeus_watsoni",NA
"536","Artibeus_concolor",NA
"537","Artibeus_fimbriatus",NA
"538","Artibeus_amplus",NA
"539","Artibeus_jamaicensis",NA
"540","Artibeus_lituratus",NA
"541","Artibeus_obscurus",NA
"542","Artibeus_fraterculus",NA
"543","Artibeus_hirsutus",NA
"544","Artibeus_inopinatus",NA
"545","Ectophylla_alba",NA
"546","Chiroderma_salvini",NA
"547","Chiroderma_improvisum",NA
"548","Chiroderma_villosum",NA
"549","Chiroderma_doriae",NA
"550","Chiroderma_trinitatum",NA
"551","Mesophylla_macconnelli",NA
"552","Vampyressa_melissa",NA
"553","Vampyressa_pusilla",NA
"554","Vampyressa_thyone",NA
"555","Vampyressa_bidens",NA
"556","Vampyressa_brocki",NA
"557","Vampyressa_nymphaea",NA
"558","Uroderma_bilobatum",NA
"559","Uroderma_magnirostrum",NA
"560","Vampyrodes_caraccioli",NA
"561","Platyrrhinus_aurarius",NA
"562","Platyrrhinus_brachycephalus",NA
"563","Platyrrhinus_chocoensis",NA
"564","Platyrrhinus_dorsalis",NA
"565","Platyrrhinus_helleri",NA
"566","Platyrrhinus_infuscus",NA
"567","Platyrrhinus_lineatus",NA
"568","Platyrrhinus_recifinus",NA
"569","Platyrrhinus_umbratus",NA
"570","Platyrrhinus_vittatus",NA
"571","Tomopeas_ravus",NA
"572","Cheiromeles_torquatus",NA
"573","Cheiromeles_parvidens",NA
"574","Myopterus_daubentonii",NA
"575","Myopterus_whitleyi",NA
"576","Molossops_aequatorianus",NA
"577","Molossops_mattogrossensis",NA
"578","Molossops_neglectus",NA
"579","Molossops_temminckii",NA
"580","Cynomops_abrasus",NA
"581","Cynomops_greenhalli",NA
"582","Cynomops_mexicanus",NA
"583","Cynomops_paranus",NA
"584","Cynomops_planirostris",NA
"585","Platymops_setiger",NA
"586","Mormopterus_beccarii",NA
"587","Mormopterus_norfolkensis",NA
"588","Mormopterus_planiceps",NA
"589","Mormopterus_loriae",NA
"590","Sauromys_petrophilus",NA
"591","Mormopterus_kalinowskii",NA
"592","Mormopterus_minutus",NA
"593","Mormopterus_phrudus",NA
"594","Mormopterus_doriae",NA
"595","Mormopterus_jugularis",NA
"596","Mormopterus_acetabulosus",NA
"597","Tadarida_brasiliensis",NA
"598","Tadarida_australis",NA
"599","Tadarida_kuboriensis",NA
"600","Tadarida_aegyptiaca",NA
"601","Tadarida_fulminans",NA
"602","Tadarida_lobata",NA
"603","Tadarida_teniotis",NA
"604","Tadarida_insignis",NA
"605","Tadarida_latouchei",NA
"606","Tadarida_ventralis",NA
"607","Nyctinomops_aurispinosus",NA
"608","Nyctinomops_femorosaccus",NA
"609","Nyctinomops_laticaudatus",NA
"610","Nyctinomops_macrotis",NA
"611","Otomops_formosus",NA
"612","Otomops_martiensseni",NA
"613","Otomops_madagascariensis",NA
"614","Otomops_papuensis",NA
"615","Otomops_secundus",NA
"616","Otomops_wroughtoni",NA
"617","Promops_centralis",NA
"618","Promops_nasutus",NA
"619","Molossus_sinaloae",NA
"620","Molossus_currentium",NA
"621","Molossus_molossus",NA
"622","Molossus_aztecus",NA
"623","Molossus_barnesi",NA
"624","Molossus_coibensis",NA
"625","Molossus_rufus",NA
"626","Molossus_pretiosus",NA
"627","Eumops_hansae",NA
"628","Eumops_perotis",NA
"629","Eumops_trumbulli",NA
"630","Eumops_dabbenei",NA
"631","Eumops_bonariensis",NA
"632","Eumops_patagonicus",NA
"633","Eumops_maurus",NA
"634","Eumops_glaucinus",NA
"635","Eumops_auripendulus",NA
"636","Eumops_underwoodi",NA
"637","Chaerephon_ansorgei",NA
"638","Chaerephon_bemmeleni",NA
"639","Chaerephon_bivittatus",NA
"640","Chaerephon_aloysiisabaudiae",NA
"641","Chaerephon_chapini",NA
"642","Chaerephon_shortridgei",NA
"643","Chaerephon_gallagheri",NA
"644","Chaerephon_jobensis",NA
"645","Chaerephon_solomonis",NA
"646","Chaerephon_bregullae",NA
"647","Chaerephon_johorensis",NA
"648","Chaerephon_major",NA
