"","clean_hostnames","Prediction","Prediction_Cites"
"Taphozous_hamiltoni","Taphozous_hamiltoni",0.0471124626817564,0.104920427587588
"Taphozous_nudiventris","Taphozous_nudiventris",0.0471124626817564,0.104920427587588
"Taphozous_theobaldi","Taphozous_theobaldi",0.0471124626817564,0.104920427587588
"Taphozous_hilli","Taphozous_hilli",0.0471124626817564,0.104920427587588
"Taphozous_australis","Taphozous_australis",0.0471124626817564,0.104920427587588
"Taphozous_georgianus","Taphozous_georgianus",0.0471124626817564,0.104920427587588
"Taphozous_troughtoni","Taphozous_troughtoni",0.0471124626817564,0.104920427587588
"Taphozous_kapalgensis","Taphozous_kapalgensis",0.0471124626817564,0.104920427587588
"Taphozous_hildegardeae","Taphozous_hildegardeae",0.0471124626817564,0.104920427587588
"Taphozous_longimanus","Taphozous_longimanus",0.0471124626817564,0.104920427587588
"Taphozous_mauritianus","Taphozous_mauritianus",0.0471124626817564,0.104920427587588
"Taphozous_perforatus","Taphozous_perforatus",0.0471124626817564,0.104920427587588
"Taphozous_melanopogon","Taphozous_melanopogon",0.0471124626817564,0.104920427587588
"Taphozous_achates","Taphozous_achates",0.0471124626817564,0.104920427587588
"Mosia_nigrescens","Mosia_nigrescens",0.0471124626817564,0.104920427587588
"Emballonura_atrata","Emballonura_atrata",0.0471124626817564,0.104920427587588
"Emballonura_beccarii","Emballonura_beccarii",0.0471124626817564,0.104920427587588
"Emballonura_dianae","Emballonura_dianae",0.0471124626817564,0.104920427587588
"Emballonura_furax","Emballonura_furax",0.0471124626817564,0.104920427587588
"Emballonura_raffrayana","Emballonura_raffrayana",0.0471124626817564,0.104920427587588
"Emballonura_semicaudata","Emballonura_semicaudata",0.0471124626817564,0.104920427587588
"Coleura_afra","Coleura_afra",0.0471124626817564,0.104920427587588
"Coleura_seychellensis","Coleura_seychellensis",0.0471124626817564,0.104920427587588
"Emballonura_alecto","Emballonura_alecto",0.0471124626817564,0.104920427587588
"Emballonura_monticola","Emballonura_monticola",0.0471124626817564,0.104920427587588
"Rhynchonycteris_naso","Rhynchonycteris_naso",0.0471124626817564,0.104920427587588
"Cyttarops_alecto","Cyttarops_alecto",0.0471124626817564,0.104920427587588
"Diclidurus_isabellus","Diclidurus_isabellus",0.0471124626817564,0.104920427587588
"Diclidurus_scutatus","Diclidurus_scutatus",0.0471124626817564,0.104920427587588
"Diclidurus_albus","Diclidurus_albus",0.0471124626817564,0.104920427587588
"Diclidurus_ingens","Diclidurus_ingens",0.0471124626817564,0.104920427587588
"Centronycteris_maximiliani","Centronycteris_maximiliani",0.0471124626817564,0.104920427587588
"Centronycteris_centralis","Centronycteris_centralis",0.0471124626817564,0.104920427587588
"Cormura_brevirostris","Cormura_brevirostris",0.0471124626817564,0.104920427587588
"Saccopteryx_bilineata","Saccopteryx_bilineata",0.0471124626817564,0.104920427587588
"Saccopteryx_leptura","Saccopteryx_leptura",0.0471124626817564,0.104920427587588
"Saccopteryx_gymnura","Saccopteryx_gymnura",0.0471124626817564,0.104920427587588
"Saccopteryx_canescens","Saccopteryx_canescens",0.0471124626817564,0.104920427587588
"Balantiopteryx_io","Balantiopteryx_io",0.0471124626817564,0.104920427587588
"Balantiopteryx_infusca","Balantiopteryx_infusca",0.0471124626817564,0.104920427587588
"Balantiopteryx_plicata","Balantiopteryx_plicata",0.0471124626817564,0.104920427587588
"Peropteryx_leucoptera","Peropteryx_leucoptera",0.0471124626817564,0.104920427587588
"Peropteryx_kappleri","Peropteryx_kappleri",0.0471124626817564,0.104920427587588
"Peropteryx_macrotis","Peropteryx_macrotis",0.0471124626817564,0.104920427587588
"Peropteryx_trinitatis","Peropteryx_trinitatis",0.0471124626817564,0.104920427587588
"Craseonycteris_thonglongyai","Craseonycteris_thonglongyai",0.0471124626817564,0.104920427587588
"Rhinopoma_hardwickii","Rhinopoma_hardwickii",0.0471124626817564,0.104920427587588
"Rhinopoma_macinnesi","Rhinopoma_macinnesi",0.0471124626817564,0.104920427587588
"Rhinopoma_microphyllum","Rhinopoma_microphyllum",0.0471124626817564,0.104920427587588
"Rhinopoma_muscatellum","Rhinopoma_muscatellum",0.0471124626817564,0.104920427587588
"Cardioderma_cor","Cardioderma_cor",0.0471124626817564,0.104920427587588
"Lavia_frons","Lavia_frons",0.0471124626817564,0.104920427587588
"Macroderma_gigas","Macroderma_gigas",0.0471124626817564,0.104920427587588
"Megaderma_lyra","Megaderma_lyra",0.0471124626817564,0.104920427587588
"Megaderma_spasma","Megaderma_spasma",0.0471124626817564,0.104920427587588
"Nycteris_javanica","Nycteris_javanica",0.0471124626817564,0.104920427587588
"Nycteris_tragata","Nycteris_tragata",0.0471124626817564,0.104920427587588
"Nycteris_arge","Nycteris_arge",0.0471124626817564,0.104920427587588
"Nycteris_intermedia","Nycteris_intermedia",0.0471124626817564,0.104920427587588
"Nycteris_major","Nycteris_major",0.121212121212115,0.104920427587588
"Nycteris_nana","Nycteris_nana",0.0471124626817564,0.104920427587588
"Nycteris_gambiensis","Nycteris_gambiensis",0.0471124626817564,0.104920427587588
"Nycteris_thebaica","Nycteris_thebaica",0.121212121212115,0.104920427587588
"Nycteris_grandis","Nycteris_grandis",0.121212121212115,0.104920427587588
"Nycteris_hispida","Nycteris_hispida",0.0471124626817564,0.104920427587588
"Nycteris_aurita","Nycteris_aurita",0.0471124626817564,0.104920427587588
"Nycteris_macrotis","Nycteris_macrotis",0.0471124626817564,0.104920427587588
"Nycteris_vinsoni","Nycteris_vinsoni",0.0471124626817564,0.104920427587588
"Nycteris_madagascariensis","Nycteris_madagascariensis",0.0471124626817564,0.104920427587588
"Nycteris_woodi","Nycteris_woodi",0.121212121212115,0.104920427587588
"Nycteris_parisii","Nycteris_parisii",0.121212121212115,0.104920427587588
"Rhinolophus_monoceros","Rhinolophus_monoceros",0.121212121212115,0.104920427587588
"Rhinolophus_pusillus","Rhinolophus_pusillus",0.121212121212115,0.104920427587588
"Rhinolophus_osgoodi","Rhinolophus_osgoodi",0.121212121212115,0.104920427587588
"Rhinolophus_cornutus","Rhinolophus_cornutus",0.121212121212115,0.104920427587588
"Rhinolophus_lepidus","Rhinolophus_lepidus",0.121212121212115,0.104920427587588
"Rhinolophus_shortridgei","Rhinolophus_shortridgei",0.121212121212115,0.104920427587588
"Rhinolophus_imaizumii","Rhinolophus_imaizumii",0.121212121212115,0.104920427587588
"Rhinolophus_cognatus","Rhinolophus_cognatus",0.121212121212115,0.104920427587588
"Rhinolophus_subbadius","Rhinolophus_subbadius",0.121212121212115,0.104920427587588
"Rhinolophus_acuminatus","Rhinolophus_acuminatus",0.121212121212115,0.104920427587588
"Rhinolophus_adami","Rhinolophus_adami",0.121212121212115,0.104920427587588
"Rhinolophus_affinis","Rhinolophus_affinis",0.121212121212115,0.104920427587588
"Rhinolophus_alcyone","Rhinolophus_alcyone",0.121212121212115,0.104920427587588
"Rhinolophus_arcuatus","Rhinolophus_arcuatus",0.121212121212115,0.104920427587588
"Rhinolophus_blasii","Rhinolophus_blasii",0.121212121212115,0.104920427587588
"Rhinolophus_capensis","Rhinolophus_capensis",0.121212121212115,0.104920427587588
"Rhinolophus_celebensis","Rhinolophus_celebensis",0.121212121212115,0.104920427587588
"Rhinolophus_madurensis","Rhinolophus_madurensis",0.121212121212115,0.104920427587588
"Rhinolophus_clivosus","Rhinolophus_clivosus",0.121212121212115,0.104920427587588
"Rhinolophus_bocharicus","Rhinolophus_bocharicus",0.121212121212115,0.104920427587588
"Rhinolophus_hillorum","Rhinolophus_hillorum",0.121212121212115,0.104920427587588
"Rhinolophus_coelophyllus","Rhinolophus_coelophyllus",0.121212121212115,0.104920427587588
"Rhinolophus_darlingi","Rhinolophus_darlingi",0.121212121212115,0.104920427587588
"Rhinolophus_deckenii","Rhinolophus_deckenii",0.121212121212115,0.104920427587588
"Rhinolophus_denti","Rhinolophus_denti",0.121212121212115,0.104920427587588
"Rhinolophus_eloquens","Rhinolophus_eloquens",0.121212121212115,0.104920427587588
"Rhinolophus_euryotis","Rhinolophus_euryotis",0.121212121212115,0.104920427587588
"Rhinolophus_ferrumequinum","Rhinolophus_ferrumequinum",0.121212121212115,0.104920427587588
"Rhinolophus_fumigatus","Rhinolophus_fumigatus",0.121212121212115,0.104920427587588
"Rhinolophus_hildebrandtii","Rhinolophus_hildebrandtii",0.121212121212115,0.104920427587588
"Rhinolophus_hipposideros","Rhinolophus_hipposideros",0.121212121212115,0.104920427587588
"Rhinolophus_inops","Rhinolophus_inops",0.121212121212115,0.104920427587588
"Rhinolophus_keyensis","Rhinolophus_keyensis",0.121212121212115,0.104920427587588
"Rhinolophus_luctus","Rhinolophus_luctus",0.121212121212115,0.104920427587588
"Rhinolophus_beddomei","Rhinolophus_beddomei",0.121212121212115,0.104920427587588
"Rhinolophus_formosae","Rhinolophus_formosae",0.121212121212115,0.104920427587588
"Rhinolophus_maclaudi","Rhinolophus_maclaudi",0.121212121212115,0.104920427587588
"Rhinolophus_hilli","Rhinolophus_hilli",0.121212121212115,0.104920427587588
"Rhinolophus_ruwenzorii","Rhinolophus_ruwenzorii",0.121212121212115,0.104920427587588
"Rhinolophus_macrotis","Rhinolophus_macrotis",0.121212121212115,0.104920427587588
"Rhinolophus_siamensis","Rhinolophus_siamensis",0.121212121212115,0.104920427587588
"Rhinolophus_malayanus","Rhinolophus_malayanus",0.121212121212115,0.104920427587588
"Rhinolophus_marshalli","Rhinolophus_marshalli",0.121212121212115,0.104920427587588
"Rhinolophus_megaphyllus","Rhinolophus_megaphyllus",0.121212121212115,0.104920427587588
"Rhinolophus_mitratus","Rhinolophus_mitratus",0.121212121212115,0.104920427587588
"Rhinolophus_paradoxolophus","Rhinolophus_paradoxolophus",0.121212121212115,0.104920427587588
"Rhinolophus_pearsonii","Rhinolophus_pearsonii",0.121212121212115,0.104920427587588
"Rhinolophus_philippinensis","Rhinolophus_philippinensis",0.121212121212115,0.104920427587588
"Rhinolophus_montanus","Rhinolophus_montanus",0.121212121212115,0.104920427587588
"Rhinolophus_rex","Rhinolophus_rex",0.121212121212115,0.104920427587588
"Rhinolophus_robinsoni","Rhinolophus_robinsoni",0.121212121212115,0.104920427587588
"Rhinolophus_rouxii","Rhinolophus_rouxii",0.121212121212115,0.104920427587588
"Rhinolophus_sinicus","Rhinolophus_sinicus",0.121212121212115,0.104920427587588
"Rhinolophus_rufus","Rhinolophus_rufus",0.121212121212115,0.104920427587588
"Rhinolophus_sedulus","Rhinolophus_sedulus",0.121212121212115,0.104920427587588
"Rhinolophus_shameli","Rhinolophus_shameli",0.121212121212115,0.104920427587588
"Rhinolophus_silvestris","Rhinolophus_silvestris",0.121212121212115,0.104920427587588
"Rhinolophus_simulator","Rhinolophus_simulator",0.121212121212115,0.104920427587588
"Rhinolophus_stheno","Rhinolophus_stheno",0.0471124626817564,0.104920427587588
"Rhinolophus_subrufus","Rhinolophus_subrufus",0.0471124626817564,0.104920427587588
"Rhinolophus_swinnyi","Rhinolophus_swinnyi",0.0471124626817564,0.104920427587588
"Rhinolophus_thomasi","Rhinolophus_thomasi",0.0471124626817564,0.104920427587588
"Rhinolophus_trifoliatus","Rhinolophus_trifoliatus",0.0471124626817564,0.104920427587588
"Rhinolophus_virgo","Rhinolophus_virgo",0.0471124626817564,0.104920427587588
"Rhinolophus_yunanensis","Rhinolophus_yunanensis",0.0471124626817564,0.104920427587588
"Rhinolophus_nereis","Rhinolophus_nereis",0.121212121212115,0.695476785400539
"Rhinolophus_borneensis","Rhinolophus_borneensis",0.0471124626817564,0.104920427587588
"Rhinolophus_canuti","Rhinolophus_canuti",0.0471124626817564,0.104920427587588
"Rhinolophus_creaghi","Rhinolophus_creaghi",0.0471124626817564,0.104920427587588
"Rhinolophus_mehelyi","Rhinolophus_mehelyi",0.0471124626817564,0.104920427587588
"Rhinolophus_euryale","Rhinolophus_euryale",0.0471124626817564,0.104920427587588
"Rhinolophus_landeri","Rhinolophus_landeri",0.0471124626817564,0.104920427587588
"Rhinolophus_guineensis","Rhinolophus_guineensis",0.0471124626817564,0.104920427587588
"Paracoelops_megalotis","Paracoelops_megalotis",0.0471124626817564,0.104920427587588
"Coelops_frithii","Coelops_frithii",0.0471124626817564,0.104920427587588
"Coelops_robinsoni","Coelops_robinsoni",0.0471124626817564,0.104920427587588
"Rhinonicteris_aurantia","Rhinonicteris_aurantia",0.0471124626817564,0.104920427587588
"Triaenops_furculus","Triaenops_furculus",0.0471124626817564,0.104920427587588
"Triaenops_auritus","Triaenops_auritus",0.0471124626817564,0.104920427587588
"Triaenops_persicus","Triaenops_persicus",0.0471124626817564,0.104920427587588
"Triaenops_rufus","Triaenops_rufus",0.0471124626817564,0.104920427587588
"Aselliscus_tricuspidatus","Aselliscus_tricuspidatus",0.0471124626817564,0.104920427587588
"Anthops_ornatus","Anthops_ornatus",0.0471124626817564,0.104920427587588
"Hipposideros_ater","Hipposideros_ater",0.0471124626817564,0.104920427587588
"Hipposideros_abae","Hipposideros_abae",0.0471124626817564,0.104920427587588
